Norm 10.254992, Time 24
Norm 10.4173765, Time 17
Norm 10.461491, Time 21
Norm 10.343442, Time 19
Norm 10.133996, Time 20
Norm 9.878002, Time 22
Norm 10.012253, Time 23
Norm 10.007166, Time 19
Norm 9.658536, Time 21
Norm 9.141293, Time 20
Norm 8.569245, Time 20
Norm 8.155222, Time 20
Norm 8.146391, Time 20
Norm 8.2879, Time 20
Norm 8.405653, Time 20
Norm 8.487794, Time 21
Norm 8.646057, Time 20
Norm 8.995237, Time 19
Norm 9.702975, Time 21
Norm 10.342374, Time 20
Norm 10.734105, Time 20
Norm 11.336385, Time 20
Norm 12.040765, Time 20
Norm 12.270837, Time 20
Norm 11.926176, Time 20
Norm 11.310409, Time 21
Norm 10.716246, Time 19
Norm 10.170114, Time 20
Norm 9.688606, Time 20
Norm 9.259442, Time 21
Norm 9.064502, Time 20
Norm 9.218762, Time 20
Norm 9.433013, Time 20
Norm 9.478491, Time 20
Norm 9.176092, Time 20
Norm 8.685351, Time 20
Norm 8.127639, Time 20
Norm 7.8127866, Time 20
Norm 7.9978466, Time 20
Norm 8.359121, Time 21
Norm 8.436714, Time 20
Norm 8.69197, Time 20
Norm 9.257959, Time 20
Norm 9.9825535, Time 20
Norm 11.046514, Time 20
Norm 11.852841, Time 20
Norm 11.989381, Time 20
Norm 11.643605, Time 20
Norm 11.366668, Time 21
Norm 11.083967, Time 20
Norm 10.638084, Time 20
Norm 10.103847, Time 20
Norm 9.709321, Time 20
Norm 9.342655, Time 20
Norm 8.946257, Time 22
Norm 8.612476, Time 20
Norm 8.654024, Time 20
Norm 8.644984, Time 20
Norm 8.494424, Time 22
Norm 8.3093605, Time 19
Norm 8.283176, Time 20
Norm 8.364945, Time 20
Norm 8.283691, Time 20
Norm 8.424304, Time 20
Norm 8.7546, Time 21
Norm 9.051794, Time 20
Norm 9.5137615, Time 20
Norm 10.500511, Time 20
Norm 11.502462, Time 20
Norm 12.111369, Time 23
Norm 12.768601, Time 20
Norm 12.821552, Time 20
Norm 12.304776, Time 20
Norm 11.669808, Time 20
Norm 10.890156, Time 20
Norm 10.094451, Time 20
Norm 9.708222, Time 20
Norm 9.43492, Time 21
Norm 9.024835, Time 20
Norm 8.449601, Time 21
Norm 8.1933155, Time 20
Norm 8.575174, Time 20
Norm 8.834673, Time 20
Norm 8.600826, Time 21
Norm 8.074983, Time 20
Norm 7.442707, Time 20
Norm 7.3855577, Time 20
